label,degree,weighted_degree,betweenness,normalized_betweenness,eccentricity,closeness,network
Harry Potter,62,165,919.9997113997114,0.4865149187729833,1,1.0,harry_potter_and_the_order_of_the_phoenix
Harry Potter,49,181,426.907251082251,0.3630163699679005,1,1.0,harry_potter_and_the_philosophers_stone
Harry Potter,48,195,368.7157037407036,0.300992411216901,2,0.9615384615384616,harry_potter_and_the_chamber_of_secrets
Harry Potter,38,147,215.5957792207792,0.26292168197656,2,0.9318181818181818,harry_potter_and_the_goblet_of_fire
Harry Potter,51,128,274.3699948208962,0.1781623342992833,2,0.9180327868852459,harry_potter_and_the_deathly_hallows_part_1
Hermione Granger,51,120,282.2333287148466,0.1832683952693809,2,0.9180327868852459,harry_potter_and_the_deathly_hallows_part_1
Harry Potter,35,138,242.7039085914085,0.3275356391247079,2,0.9069767441860465,harry_potter_and_the_prisoner_of_azkaban
Harry Potter,34,130,192.6944444444445,0.27410305041884,2,0.9047619047619048,harry_potter_and_the_half-blood_prince
Ron Weasley,49,111,242.8129990445171,0.1576707786003358,2,0.8888888888888888,harry_potter_and_the_deathly_hallows_part_1
Harry Potter,42,108,465.739898989899,0.3960373290730433,2,0.875,harry_potter_and_the_deathly_hallows_part_2
Ron Weasley,42,157,201.6928682428683,0.1646472393819333,2,0.8620689655172413,harry_potter_and_the_chamber_of_secrets
Ron Weasley,32,123,100.6296661671662,0.1358025184442189,2,0.8478260869565217,harry_potter_and_the_prisoner_of_azkaban
Hermione Granger,32,127,100.6296661671662,0.1358025184442189,2,0.8478260869565217,harry_potter_and_the_prisoner_of_azkaban
Ron Weasley,33,101,92.19491341991346,0.1124328212437969,3,0.82,harry_potter_and_the_goblet_of_fire
Hermione Granger,28,92,71.09087301587303,0.1011249971776288,2,0.7916666666666666,harry_potter_and_the_half-blood_prince
Ron Weasley,36,139,102.3739177489177,0.0870526511470389,2,0.7903225806451613,harry_potter_and_the_philosophers_stone
Hermione Granger,29,92,58.78214285714285,0.0716855400696864,3,0.7592592592592593,harry_potter_and_the_goblet_of_fire
Rubeus Hagrid,33,74,126.873088023088,0.1078852789311973,2,0.7538461538461538,harry_potter_and_the_philosophers_stone
Hermione Granger,41,92,123.0794011544012,0.0650869387384459,2,0.7469879518072289,harry_potter_and_the_order_of_the_phoenix
Hermione Granger,33,104,112.3157398157398,0.09168631821693045,2,0.746268656716418,harry_potter_and_the_chamber_of_secrets
Ron Weasley,32,84,130.6476911976912,0.1110949755082408,2,0.7424242424242424,harry_potter_and_the_deathly_hallows_part_2
Ron Weasley,40,95,110.9294011544012,0.05866176687170872,2,0.7380952380952381,harry_potter_and_the_order_of_the_phoenix
Hermione Granger,31,112,60.56677489177488,0.05150235960184939,2,0.7313432835820896,harry_potter_and_the_philosophers_stone
Hermione Granger,31,76,123.1758658008658,0.1047413824837294,2,0.7313432835820896,harry_potter_and_the_deathly_hallows_part_2
Ron Weasley,24,84,40.9638888888889,0.05827011221748064,2,0.7307692307692307,harry_potter_and_the_half-blood_prince
Albus Dumbledore,25,61,31.74729437229438,0.03871621264913949,2,0.7192982456140351,harry_potter_and_the_goblet_of_fire
Horace Slughorn,23,46,50.95436507936509,0.07248131590236855,2,0.7169811320754716,harry_potter_and_the_half-blood_prince
Fred Weasley,25,62,22.32824675324676,0.02722956921127653,3,0.7068965517241379,harry_potter_and_the_goblet_of_fire
George Weasley,25,62,22.32824675324676,0.02722956921127653,3,0.7068965517241379,harry_potter_and_the_goblet_of_fire
Other,29,58,42.35434010434011,0.03457497151374703,2,0.704225352112676,harry_potter_and_the_chamber_of_secrets
Alastor Moody,23,66,21.71713564213564,0.026484311758702,2,0.6949152542372882,harry_potter_and_the_goblet_of_fire
Severus Snape,21,36,47.26309523809525,0.06723057644110277,3,0.6785714285714286,harry_potter_and_the_half-blood_prince
Gilderoy Lockhart,26,60,38.26606449106448,0.03123760366617509,2,0.6756756756756757,harry_potter_and_the_chamber_of_secrets
Neville Longbottom,20,31,28.55552780552781,0.03853647477129259,2,0.6724137931034483,harry_potter_and_the_prisoner_of_azkaban
Draco Malfoy,25,59,28.49801587301587,0.02326368642695173,2,0.6666666666666666,harry_potter_and_the_chamber_of_secrets
